'Test Type,Test Description
0,
'Version
1.1.0
'Time Stamp
2018-06-25 11:55:07:279
'Access specifications
'Access specification name,default assignment
64 KiB; 100% Read; 0% random,0
'size,% of size,% reads,% random,delay,burst,align,reply
65536,100,100,0,0,1,0,0,
'End access specifications
'Results
TimeStamp,'Target Type,Target Name,Access Specification Name,# Managers,# Workers,# Disks,IOps,Read IOps,Write IOps,MBps (Binary),Read MBps (Binary),Write MBps (Binary),MBps (Decimal),Read MBps (Decimal),Write MBps (Decimal),Transactions per Second,Connections per Second,Average Response Time,Average Read Response Time,Average Write Response Time,Average Transaction Time,Average Connection Time,Maximum Response Time,Maximum Read Response Time,Maximum Write Response Time,Maximum Transaction Time,Maximum Connection Time,Errors,Read Errors,Write Errors,Bytes Read,Bytes Written,Read I/Os,Write I/Os,Connections,Transactions per Connection,Total Raw Read Response Time,Total Raw Write Response Time,Total Raw Transaction Time,Total Raw Connection Time,Maximum Raw Read Response Time,Maximum Raw Write Response Time,Maximum Raw Transaction Time,Maximum Raw Connection Time,Total Raw Run Time,Starting Sector,Maximum Size,Queue Depth,% CPU Utilization,% User Time,% Privileged Time,% DPC Time,% Interrupt Time,Processor Speed,Interrupts per Second,CPU Effectiveness,Packets/Second,Packet Errors,Segments Retransmitted/Second,0 to 50 uS,50 to 100 uS,100 to 200 uS,200 to 500 uS,0.5 to 1 mS,1 to 2 mS,2 to 5 mS,5 to 10 mS,10 to 15 mS,15 to 20 mS,20 to 30 mS,30 to 50 mS,50 to 100 mS,100 to 200 mS,200 to 500 mS,0.5 to 1 S,1 to 2 s,2 to 4.7 s,4.7 to 5 s,5 to 10 s, >= 10 s
2018-06-25 11:55:56:311,WORKER,Worker 1,,,,1,6230.37,6230.37,0,389.398,389.398,0,408.313,408.313,0,6230.37,0,0.160249,0.160249,0,0.160249,0,2.87885,2.87885,0,2.87885,0,0,0,0,404029440,0,6165,0,0,-1,3866850,0,3866850,0,11268,0,11268,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1341,2428,421,1856,92,15,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:57:314,WORKER,Worker 1,,,,1,6155.03,6155.03,0,384.689,384.689,0,403.376,403.376,0,6155.03,0,0.162217,0.162217,0,0.162217,0,2.83133,2.83133,0,2.83133,0,0,0,0,404684800,0,6175,0,0,-1,3920668,0,3920668,0,11082,0,11082,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1269,2470,479,1833,90,15,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:58:401,WORKER,Worker 1,,,,1,6095.01,6095.01,0,380.938,380.938,0,399.443,399.443,0,6095.01,0,0.163808,0.163808,0,0.163808,0,3.0674,3.0674,0,3.0674,0,0,0,0,434372608,0,6628,0,0,-1,4249565,0,4249565,0,12006,0,12006,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1559,2398,475,2046,115,21,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:55:59:402,WORKER,Worker 1,,,,1,5974.26,5974.26,0,373.391,373.391,0,391.529,391.529,0,5974.26,0,0.167142,0.167142,0,0.167142,0,3.17343,3.17343,0,3.17343,0,0,0,0,392167424,0,5984,0,0,-1,3914749,0,3914749,0,12421,0,12421,0,0,0,0,1,,,,,,3.91406e+006,,,,,,931,2599,431,1895,107,13,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:56:00:413,WORKER,Worker 1,,,,1,6112.93,6112.93,0,382.058,382.058,0,400.617,400.617,0,6112.93,0,0.163329,0.163329,0,0.163329,0,3.17701,3.17701,0,3.17701,0,0,0,0,404881408,0,6178,0,0,-1,3949481,0,3949481,0,12435,0,12435,0,0,0,0,1,,,,,,3.91406e+006,,,,,,985,2671,446,1984,75,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:56:01:403,WORKER,Worker 1,,,,1,6380.13,6380.13,0,398.758,398.758,0,418.128,418.128,0,6380.13,0,0.156485,0.156485,0,0.156485,0,2.50175,2.50175,0,2.50175,0,0,0,0,413663232,0,6312,0,0,-1,3866047,0,3866047,0,9792,0,9792,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1140,2711,411,1968,70,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:56:02:408,WORKER,Worker 1,,,,1,6716.77,6716.77,0,419.798,419.798,0,440.19,440.19,0,6716.77,0,0.148634,0.148634,0,0.148634,0,2.7322,2.7322,0,2.7322,0,0,0,0,442433536,0,6751,0,0,-1,3927479,0,3927479,0,10694,0,10694,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1470,2783,392,2029,67,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:56:04:006,WORKER,Worker 1,,,,1,6411.9,6411.9,0,400.743,400.743,0,420.21,420.21,0,6411.9,0,0.155685,0.155685,0,0.155685,0,2.72709,2.72709,0,2.72709,0,0,0,0,671744000,0,10250,0,0,-1,6245937,0,6245937,0,10674,0,10674,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1845,4489,595,3173,132,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:56:04:999,WORKER,Worker 1,,,,1,6483.88,6483.88,0,405.242,405.242,0,424.927,424.927,0,6483.88,0,0.154012,0.154012,0,0.154012,0,2.97491,2.97491,0,2.97491,0,0,0,0,422117376,0,6441,0,0,-1,3882715,0,3882715,0,11644,0,11644,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1418,2549,409,1980,69,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06-25 11:56:05:998,WORKER,Worker 1,,,,1,6494.52,6494.52,0,405.908,405.908,0,425.625,425.625,0,6494.52,0,0.153749,0.153749,0,0.153749,0,2.73961,2.73961,0,2.73961,0,0,0,0,423755776,0,6466,0,0,-1,3891119,0,3891119,0,10723,0,10723,0,0,0,0,1,,,,,,3.91406e+006,,,,,,1267,2691,447,1977,70,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
